"","Geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensgene","symbol"
"1437","ENSG00000095383.20",994.477699496944,1.04478113530502,0.133742735269367,7.81187204823316,5.63447461235606e-15,4.63652167696673e-14,"ENSG00000095383","TBC1D2"
"1438","ENSG00000095397.17",555.996991795306,1.7242244569494,0.178486285568591,9.66026298018729,4.44720857434344e-22,5.48325617275443e-21,"ENSG00000095397","WHRN"
"1439","ENSG00000095485.18",541.235278854983,0.305031906381823,0.175528712554741,1.73778923084561,0.0822479589281218,0.128460743672233,"ENSG00000095485","CWF19L1"
"1440","ENSG00000095564.15",1463.76329143885,0.796953821063817,0.116982711419606,6.81257778514995,9.58651900956999e-12,6.16480978056476e-11,"ENSG00000095564","BTAF1"
"1441","ENSG00000095574.12",331.972512904298,0.0977492761090582,0.230971654640085,0.423208970214885,0.672142802673377,0.74259760544323,"ENSG00000095574","IKZF5"
"1442","ENSG00000095739.11",1635.14665646375,-0.62065732753727,0.111819874653526,-5.55050995594814,2.84837488574783e-08,1.32667123479042e-07,"ENSG00000095739","BAMBI"
"1443","ENSG00000095752.7",1853.64773078446,6.71978634710989,0.219283281798292,30.6443167577686,3.14606903804341e-206,9.5087810952539e-204,"ENSG00000095752","IL11"
"1444","ENSG00000095787.25",3857.05109283958,0.0089880615049432,0.0847250638513053,0.106085036663029,0.915514883160254,0.93902622566093,"ENSG00000095787","WAC"
"1445","ENSG00000095794.21",229.836558457971,0.918824877712704,0.251945983847737,3.64691218204928,0.000265410581415536,0.0007249844973058,"ENSG00000095794","CREM"
"1446","ENSG00000095906.17",735.457825724949,-0.300326380489218,0.147350975313932,-2.03817029272708,0.0415329053323903,0.0711601777741873,"ENSG00000095906","NUBP2"
"1447","ENSG00000095951.17",782.826600088335,0.430623643577568,0.210019126648305,2.05040202980505,0.0403252152832065,0.0693886571029541,"ENSG00000095951","HIVEP1"
