"","Geneid","Ctrl1","Ctrl2","Ctrl3","Ctrl4","SBMA_1","SBMA_2","SBMA_3","SBMA_4","SBMA_5","SBMA_6","SBMA_7","SBMA_8","SBMA_9","ensgene","symbol"
"3119","ENSG00000115145.10",473.03245546766,543.614423363087,473.118000267774,586.288141541869,426.949616933623,622.027992828139,498.486147697062,490.414394283367,524.180718320926,584.925590243568,546.440111438595,452.010194776225,581.051201921536,"ENSG00000115145","STAM2"
"3120","ENSG00000115159.16",3792.15204860111,3292.17611342973,1605.69482121769,2280.31341030334,1494.63690825866,1036.02642793034,1578.90707117337,1077.42325058674,2693.80362823033,1166.17836055531,1169.15550517952,935.258833333173,1473.38457631484,"ENSG00000115159","GPD2"
"3121","ENSG00000115165.10",26.6147963717121,28.9661494419162,53.6470109025731,13.1044637488335,39.2996432958082,161.967402584424,30.8549516894423,33.0456374860622,36.3684767644233,50.1002305880399,82.4291065715967,41.551103440693,139.455411310397,"ENSG00000115165","CYTIP"
"3122","ENSG00000115170.16",726.020419650768,544.763741840354,617.965101970122,718.253341237418,503.578797078981,785.882087652058,599.4532381677,346.049360191884,588.449621827678,521.074717773912,655.194200172037,437.035698017761,698.262886280813,"ENSG00000115170","ACVR1"
"3123","ENSG00000115183.15",565.919029663848,560.994334823006,533.496796846455,573.113931374201,632.621980611715,780.507622846646,974.719088981678,519.333152592778,648.430863682836,981.824579978737,936.87969057604,765.900957940102,844.441759609487,"ENSG00000115183","TANC1"
"3124","ENSG00000115204.15",260.436440073388,222.334907710179,307.337643609115,162.032685264208,311.244620617298,519.948567075755,298.278058077678,194.051497956489,280.491601860902,270.955578946638,334.394528916893,326.084972326114,332.272331271072,"ENSG00000115204","MPV17"
"3125","ENSG00000115207.15",849.831264078899,922.116047224079,866.928191432843,761.708941342074,858.174809413358,911.43037036055,920.502822486912,824.075589478419,677.722915708912,675.526383831843,828.247936189766,904.699005203139,800.537778152363,"ENSG00000115207","GTF3C2"
"3126","ENSG00000115211.17",740.967814804042,730.19562763554,759.862728189019,803.239189229733,690.321717315715,912.040982818857,613.077390514174,812.871927203238,712.011026061817,719.806817697116,677.870806439358,700.082583322754,678.963067882883,"ENSG00000115211","EIF2B4"
"3127","ENSG00000115216.14",2901.69986309965,2592.52183171304,2608.77558433184,2969.89137618332,2616.78753381558,2762.09227717774,2481.40814951097,2467.20077086562,2866.41034401842,2406.00803639122,2482.95161571717,2274.96551872761,2395.93600071773,"ENSG00000115216","NRBP1"
"3128","ENSG00000115221.12",6192.12904447812,6991.0978943653,4345.36490213131,5166.35007277459,3617.50399918817,453.088708071619,3262.84828627469,4047.96040109091,4359.00984473776,3763.02414343729,2390.66941889026,2954.9100877739,3238.94916332089,"ENSG00000115221","ITGB6"
"3129","ENSG00000115232.14",61.6192526730566,108.436645919852,36.668842841108,81.7144608907857,86.2248502192177,161.496987036652,72.7733401599178,110.14847764492,93.8730327078427,180.130755163153,121.797852665442,76.8427629674773,473.679974001327,"ENSG00000115232","ITGA4"
"3130","ENSG00000115233.12",1899.13310921342,1678.28484131277,1219.257499635,1947.23383800576,1607.45006111816,1741.47209427598,1583.28178636067,1997.44153984708,1618.40601228347,1594.47167633962,1317.7798001967,1738.57629095629,1269.9139218581,"ENSG00000115233","PSMD14"
"3131","ENSG00000115234.11",992.104516628615,780.064057494834,1038.11083372654,1122.35761174854,1179.83954362261,1585.91872216873,1264.48387933176,1149.40340004282,1159.60655004268,1165.8727025459,1332.75183801438,1301.64386252356,1286.01370050682,"ENSG00000115234","SNX17"
"3132","ENSG00000115239.24",125.435434249961,144.607913311675,134.521597538826,199.668203658488,151.454689726541,162.831089534767,155.529358355563,131.95064189088,178.387746744452,193.701818351591,153.814302947791,152.63266261745,189.219789278505,"ENSG00000115239","ASB3"
"3133","ENSG00000115239.24",125.435434249961,144.607913311675,134.521597538826,199.668203658488,151.454689726541,162.831089534767,155.529358355563,131.95064189088,178.387746744452,193.701818351591,153.814302947791,152.63266261745,189.219789278505,"ENSG00000115239","ASB3"
"3134","ENSG00000115241.11",1702.4824926088,1516.81638562226,1675.40015768866,1793.86447253849,1549.04687826702,1677.76470411295,1564.53107980515,1839.011319983,1810.9534492312,1572.58452773204,1443.62337234805,1538.15497205566,1562.90669199272,"ENSG00000115241","PPM1G"
"3135","ENSG00000115252.19",246.060497628541,212.261752598282,186.116017643518,254.920417070247,320.213696307116,420.781876783127,333.361458938484,232.703795834824,228.935081676268,267.721206133246,353.773360771321,297.273837611518,395.886374679774,"ENSG00000115252","PDE1A"
"3136","ENSG00000115267.10",291.340981406146,250.289469964657,224.188841460666,132.275702157696,199.884567511546,218.445414966676,291.851709803225,315.38070243924,256.043528008008,295.386665421117,227.329328608522,192.705936933186,165.537732924914,"ENSG00000115267","IFIH1"
"3137","ENSG00000115268.10",12788.9105809957,16268.1354654433,15624.5677982034,15280.017182255,13964.0466629559,14667.9190432939,14800.3474616026,14749.1259220524,16409.9709178191,11845.1157900822,11625.0040758916,13347.6109560041,13174.5517483694,"ENSG00000115268","RPS15"
"3138","ENSG00000115271.11",148.202275557029,183.76004595897,189.882414949778,115.498189454956,146.332939487848,289.634866532004,157.529423097461,161.832626451738,200.776008861631,169.630358560646,161.802087438149,202.443234941606,294.990090883643,"ENSG00000115271","GCA"
"3139","ENSG00000115274.15",146.460672708788,278.490434250378,263.176794360086,214.12785504667,331.782956204714,602.374624968548,245.015954231585,225.889588528739,284.965813681203,323.899168020423,400.013343489756,287.535521329576,467.187139392551,"ENSG00000115274","INO80B"
"3140","ENSG00000115275.15",526.758135632448,571.711697098342,780.870802015006,546.225826432606,479.514069753694,678.173950463976,533.916826144896,595.518249391493,529.029517167214,517.202548740266,716.469852524187,537.435709296468,690.75447587533,"ENSG00000115275","MOGS"
"3141","ENSG00000115282.21",416.922936501683,417.72413003531,613.547656608243,429.083198804591,422.005939634353,393.089628179089,293.653524489771,325.073924669949,360.521799238359,520.2698024962,422.817406053098,505.588610105505,456.856498012665,"ENSG00000115282","TTC31"
