Protein_Group	Genes	P_value	treatment_estimate	control_estimate	log2FC	p.adj
O14569	CYB561D2	0.123595102109395	8848.96921314913	2989.91009521484	1.56492486561157	0.21873107433103
P03891	MT-ND2	0.123779957199369	401405.952665441	571560.3203125	-0.509846275817588	0.218867133056724
Q5U651	RASIP1	0.123794551644927	21404.7300091912	10027.0997238159	1.09388138991706	0.218867133056724
Q8TEW0	PARD3	0.123787794547358	19009.6909466912	9414.16552734375	1.01367671322301	0.218867133056724
P35749	MYH11	0.123870210367163	2398894.39613971	621740.66015625	1.94798249303499	0.218928643001284
P53396	ACLY	0.124218833804467	160055.034696691	103894.478515625	0.623435188891567	0.219400030560676
Q9UKU9	ANGPTL2	0.124213739406762	49525.8899931066	16704.7185058594	1.56784086724391	0.219400030560676
O00308	WWP2	0.124262352887744	4303.4391299977	2461.91418457031	0.805123701945111	0.219404556499554
Q8TDQ7	GNPDA2	0.124543553342755	21827.6417164522	16429.0070800781	0.40982316633519	0.219801272319873
Q96BN8	OTULIN	0.124569098891756	30399.7853860294	20627.7817382813	0.559402515326482	0.219801272319873
P20339	RAB5A	0.12483235203572	33566.0226619945	23783.2155761719	0.496997153164958	0.220193253162776
Q9C0D9	SELENOI	0.125164242243718	4900.49289119945	1789.45849609375	1.45259778617625	0.220706005826069
O75128	COBL	0.125251168165064	292688.689338235	228894.9453125	0.354675088252283	0.220786610023115
Q07890	SOS2	0.125342663651073	2192.2747443704	4303.76684570313	-0.973506486887097	0.220875213545657
Q9NX61	TMEM161A	0.125406583818099	14352.409955193	20632.0239257813	-0.52366227020323	0.220915182345793
P82987	ADAMTSL3	0.125496800736578	3970.07934570313	918.313049316406	2.11053971685202	0.221001433775756
Q12860	CNTN1	0.125948579786325	11346.4031479779	3800.43975830078	1.57761719642335	0.221724134707639
Q9NXJ5	PGPEP1	0.126052307178912	36946.6491268382	47046.4990234375	-0.348674508221828	0.221833840196265
Q6P1N9	TATDN1	0.1266935235906	106991.46484375	134768.119140625	-0.332994245303984	0.22288906596875
O00231	PSMD11	0.126850979996012	430505.522058824	393940.3671875	0.12805082293893	0.223092810189967
O76062	TM7SF2	0.127220394787711	69274.5906479779	41759.7255859375	0.730179501949086	0.223669069536517
Q9Y5U9	IER3IP1	0.127768501436516	65015.4939682905	33985.47265625	0.935822933468553	0.224559009906633
P31151	S100A7	0.127848497340345	23779.1922104779	7704.59106445313	1.6257221775889	0.224625910217195
O60518	RANBP6	0.128008647984782	80312.1539522059	70084.3837890625	0.196504729417621	0.224833549919501
Q9P0K7	RAI14	0.128198107745509	5766.33180147059	1168.35803222656	2.3019371339462	0.225092514976301
P47712	PLA2G4A	0.128408875325672	9521.90135282629	4224.6982421875	1.17205993475036	0.225388710720716
Q5JPH6	EARS2	0.128751963490478	29929.7490808824	37481.1723632813	-0.324624386138766	0.225881651672629
Q5VW36	FOCAD	0.128816211659489	17184.0003446691	12748.3464355469	0.430642634670154	0.225881651672629
Q8N5M9	JAGN1	0.128790864606953	142463.743106618	122219.759765625	0.221105446965517	0.225881651672629
Q9NZM1	MYOF	0.129146312611803	401154.305147059	125462.83984375	1.67688565781441	0.226386386342091
Q15041	ARL6IP1	0.129520983319376	16619.743738511	5235.93637084961	1.66610315606205	0.226968893569479
Q5T8P6	RBM26	0.129585822014777	9229.40035427318	2508.10791015625	1.87906239859351	0.227002941461229
Q9HBL0	TNS1	0.12962516295126	456189.706801471	300991.1796875	0.599907891200446	0.227002941461229
P07305	H1-0	0.129774392585487	1590402.61580882	568510.9375	1.48412948691188	0.227060112778204
Q641Q2	WASHC2A	0.129701022540062	15030.5466164982	9476.55639648437	0.665310435423039	0.227060112778204
Q9H6X4	TMEM134	0.129784966460119	2067.65421070772	432.423767089844	2.25414476124726	0.227060112778204
P01743	IGHV1-46	0.129904078289095	140294.388039982	20040.6782226563	2.8073820752838	0.227120152543956
Q5U3C3	TMEM164	0.129884259875053	24140.7259880515	30366.0966796875	-0.331039919569711	0.227120152543956
Q8IVS2	MCAT	0.130238055018376	13967.3931238511	17723.1149902344	-0.343650810787284	0.227629775116946
Q8TCQ1	MARCHF1	0.130311038420885	95035.8272058824	169118.044921875	-0.831495737041074	0.227683050495982
P06899;Q16778	H2BC11;H2BC21	0.130461261014223	10647422.8823529	6383790.25	0.738018899397234	0.22787120158239
